pos word,label
VB conglomerate,trust
NN vacation,anticipation|joy
VB elucidate,trust
NN resistance,anger
NN musical,anger|anticipation|joy|sadness|surprise|trust
JJ sickening,anger|disgust|fear|sadness
JJ departed,sadness
JJ elder,trust
NN trash,disgust|sadness
VB sympathize,sadness
NN continuation,anticipation
JJ displeased,anger|disgust|fear|sadness
NN shoddy,anger|disgust
NN tactics,fear|trust
JJ faithless,sadness
NN asshole,anger|disgust
VB ready,anticipation
VB forming,anticipation
VB departed,sadness
NN hap,anticipation|surprise
VB mail,anticipation
NN excitation,anger|anticipation|fear|joy|surprise
NN violation,anger|fear|sadness|surprise
NN smile,joy|surprise|trust
NN opium,anger|disgust|fear|sadness
NN suspense,anticipation|fear|surprise
NN serve,trust
NN hag,disgust|fear
VB rising,anticipation|joy
JJ egotistical,disgust
NN reliance,trust
VB revive,anticipation
VB damages,sadness
NN salute,joy
NN admonition,fear
VB splitting,sadness
NN tirade,anger|disgust
NN betrothed,anticipation|joy|trust
NN vermin,anger|disgust|fear
JJ inhuman,anger|disgust|fear|sadness
NN scaffold,fear
VB alien,disgust|fear
VB bait,fear|trust
NN spasm,fear
JJ remarkable,joy|surprise|trust
NN perversion,anger|disgust|sadness
NN provocation,anger
JJ feeble,sadness
VB foreboding,anticipation|fear
NN diatribe,anger|disgust
JJ united,trust
NN affliction,disgust|fear|sadness
VB remains,disgust|fear|trust
VB suspect,fear
JJ opportune,joy
JJ adverse,anger|disgust|fear|sadness
JJ squeamish,disgust|fear
NN scholarship,joy
VB crowning,anticipation|joy|surprise|trust
NN surprise,fear|joy|surprise
NN repudiation,anger|disgust
JJ woeful,sadness
VB fainting,fear|sadness|surprise
NN failure,disgust|fear|sadness
JJ legal,trust
NN murderer,anger|disgust|fear|sadness
JJ riotous,anger|fear|surprise
NN abortion,disgust|fear|sadness
NN whirlpool,fear
VB chant,anger|anticipation|joy|surprise
VB hankering,anticipation
NN tramp,disgust|fear|sadness
NN mainstay,trust
VB eradicate,anger
NN lodging,trust
NN immunization,trust
JJ fruitless,sadness
NN spank,anger|fear|sadness
JJ frisky,anticipation|joy|surprise
NN pollution,disgust
VB campaigning,anger|fear
JJ darkened,fear|sadness
NN sundial,anticipation|trust
NN fell,sadness
VB receiving,anticipation|joy|surprise
VB forsaken,anger|sadness
NN retrenchment,fear
NN stranger,fear
VB loathe,anger|disgust
VB resisting,anger|fear|sadness
JJ elated,joy
JJ combative,anger|fear
NN ensemble,trust
VB offend,anger|disgust
JJ grimy,disgust
RB blindly,sadness
JJ tough,sadness
JJ shoddy,anger|disgust
VB despairing,fear|sadness
NN servant,trust
VB authenticate,trust
VB shepherd,trust
VB triumph,anticipation|joy
VB decry,anger
JJ unequivocal,trust
VB baby,joy
VB coexist,trust
VB grieve,fear|sadness
NN spouse,joy|trust
NN captivity,sadness
JJ powerless,anger|disgust|fear|sadness
NN credence,trust
JJ mighty,anger|fear|joy|trust
VB uncover,surprise
NN grope,anger|disgust|fear
VB tariff,anger|disgust
JJ antagonistic,anger|disgust
JJ fat,disgust|sadness
JJ inseparable,joy|trust
NN criminal,anger|disgust|fear
NN conspirator,anger|anticipation|disgust|fear
NN obituary,sadness
JJ routine,trust
NN biopsy,fear
VB respects,trust
VB retract,anger
JJ homicidal,anger|fear
JJ wan,fear|sadness
JJ convincing,trust
NN organization,anticipation|joy|surprise|trust
VB perish,fear|sadness
NN avoidance,fear
NN chirp,joy
VB sneak,anger|fear|surprise
NN tomb,sadness
NN slip,surprise
JJ inadmissible,anger|disgust
JJ occult,disgust|fear
VB pirate,anger
VB throttle,anger
NN gift,anticipation|joy|surprise
NN director,trust
NN birth,anticipation|fear|joy|trust
JJ projectile,fear
JJ real,trust
VB glorify,anticipation|joy|surprise|trust
NN specialist,trust
JJ defiant,anger
VB enlighten,joy|trust
VB cube,trust
NN bounty,anticipation|joy|trust
VB cashier,trust
NN coincidence,surprise
VB weight,anticipation|disgust|fear|joy|sadness|surprise|trust
VB bickering,anger|disgust
NN hopelessness,anger|disgust|fear|sadness
JJ suspect,fear
NN gross,disgust
VB general,trust
VB bleeding,disgust|fear|sadness
VB defeated,sadness
NN hurry,anticipation
NN standoff,anger|fear
JJ celebrated,anticipation|joy
JJ impatient,anticipation
NN reliability,trust
NN clean,joy|trust
JJ sham,anger|disgust
VB wring,anger
JJ protecting,trust
NN defendant,anger|fear|sadness
NN garrison,trust
NN imprisonment,anger|disgust|fear|sadness
VB entertained,joy
JJ noxious,disgust|fear
VB sponsor,trust
NN hermit,sadness|trust
JJ ominous,anticipation|fear
JJ dislocated,anger|disgust|fear|sadness
VB sneer,anger|disgust
VB usher,trust
NN spanking,anger
JJ inconsiderate,anger|disgust|sadness
NN toad,disgust
NN constitutional,trust
VB garden,joy
VB rekindle,anticipation|fear|joy|surprise
NN suppression,anger|disgust|fear
JJ clashing,anger|fear
JJ disfigured,anger|disgust|fear|sadness
NN chaplain,trust
JJ shot,anger|fear|sadness|surprise
JJ lunatic,anger|disgust|fear
NN illness,fear|sadness
VB overthrow,anticipation|fear
NN verdict,fear
NN antidote,anticipation|trust
JJ bestial,disgust|fear
NN miscarriage,fear|sadness
JJ kindred,anticipation|joy|trust
NN sortie,fear
NN justice,trust
JJ unfulfilled,anger|anticipation|sadness|surprise
VB blockade,anger|fear|sadness
JJ heartless,sadness
NN chairman,trust
NN mandamus,fear
RB sadly,sadness
VB distorted,disgust
NN theft,anger|disgust|fear|sadness
NN possibility,anticipation
NN refugee,sadness
VB accelerate,anticipation
VB secluded,sadness
RB unintentionally,surprise
NN deacon,trust
NN maggot,disgust
NN inferno,anger|fear
JJ privileged,joy|trust
JJ savage,anger|fear
JJ favorable,anticipation|joy|surprise|trust
NN slap,anger|surprise
VB misconduct,disgust
JJ harmful,anger|disgust|fear|sadness
NN slam,anger|fear|surprise
NN pervert,anger|disgust
VB waffle,anger|sadness
NN errand,anticipation|trust
VB greeting,surprise
NN riddle,surprise
VB abolish,anger
NN blessing,anticipation|joy|trust
NN nursery,joy|trust
VB decoy,surprise
NN child,anticipation|joy
NN crouch,fear
VB break,surprise
NN dissident,anger|fear
VB disconnected,sadness
NN loudness,anger
VB leeches,disgust|fear
NN anticipation,anticipation
NN margin,sadness
NN jail,fear|sadness
NN hut,sadness
VB disrespect,anger
JJ putative,trust
VB clashing,anger|fear
JJ injured,fear|sadness
JJ surprising,surprise
JJ commemorative,anticipation
NN vengeance,anger
JJ misleading,anger|disgust
JJ disgruntled,anger|disgust|sadness
JJ horrific,anger|disgust|fear|sadness
NN mutiny,anger|disgust|fear|surprise
NN coercion,anger|disgust|fear|sadness
NN utopian,anticipation|joy|trust
JJ broken,anger|fear|sadness
NN hug,joy|trust
JJ sickly,disgust|sadness
JJ unwavering,trust
NN reprimand,anger
NN outpost,fear
NN facts,trust
VB placard,surprise
VB cover,trust
NN pain,fear|sadness
NN sentry,trust
VB rupture,fear|sadness|surprise
NN alcoholism,anger|disgust|fear|sadness
VB teeming,disgust
JJ leery,surprise
NN barbarian,fear
VB coexisting,trust
VB menacing,anger|fear
NN funk,sadness
NN infliction,fear|sadness
NN squall,fear|sadness
VB parade,anticipation|fear|joy|surprise
JJ hardy,joy|trust
NN bias,anger
VB annoy,anger|disgust
NN funeral,sadness
NN daughter,joy
JJ sordid,anger|disgust|fear|sadness
NN ill,anger|disgust|fear|sadness
NN thanksgiving,joy
VB achieve,joy|trust
NN truthfulness,trust
VB subscribe,anticipation
NN restitution,anger
NN diversion,surprise
JJ excited,anticipation|joy|surprise|trust
NN inspiration,anticipation|joy
NN cruelty,anger|disgust|fear|sadness
VB soothing,joy|trust
NN connective,trust
VB pig,disgust
NN mistress,anger|disgust
JJ immaculate,joy|trust
JJ uncanny,fear|surprise
VB sharpen,anger|anticipation
VB marry,anticipation|fear|joy|surprise|trust
JJ creditable,trust
NN coronation,joy|trust
NN fury,anger|fear|sadness
NN godsend,joy|surprise
JJ steady,surprise|trust
NN ire,anger
VB stroke,fear|sadness
VB massacre,anger|disgust|fear|sadness
JJ opponent,anger|anticipation|disgust|fear
NN consul,trust
NN carelessness,anger|disgust
NN dole,sadness
VB blossom,joy
NN doll,joy
VB team,trust
NN reconsideration,trust
JJ chronic,sadness
NN bier,fear|sadness
NN recreation,anticipation|joy
VB proven,trust
VB pop,surprise
VB obliterated,anger|fear
JJ horrid,anger|disgust|fear|sadness
NN stools,disgust
NN exacerbation,anger|fear
VB wrecked,anger|fear|sadness
NN favorite,joy|trust
JJ inappropriate,anger|disgust|sadness
JJ pompous,disgust
VB forecast,anticipation|trust
NN inattention,anger
RB presto,joy|surprise
VB pith,trust
VB blight,disgust|fear|sadness
NN nation,trust
VB pity,sadness
JJ prejudiced,disgust|fear
NN fondness,joy
JJ satisfied,joy
VB losing,anger|sadness
VB despise,anger|disgust
VB account,trust
NN fuse,trust
VB dealings,trust
JJ thirteenth,fear
NN fuss,anger|sadness
NN pang,surprise
JJ credible,trust
VB deplore,anger|disgust|sadness
NN constable,trust
JJ limited,anger|sadness
NN delight,anticipation|joy
NN playground,anticipation|joy|surprise|trust
JJ admissible,trust
VB excel,anticipation|joy|surprise|trust
VB forgiving,trust
NN dragon,fear
NN surge,surprise
NN loyalty,trust
JJ magical,anticipation|joy|surprise
NN roulette,anticipation
NN leader,trust
NN elite,anticipation|joy|trust
NN atherosclerosis,fear|sadness
VB pry,anger|anticipation|trust
NN hypertrophy,disgust|fear|surprise
VB haze,fear
VB hooded,fear
JJ dispassionate,sadness
NN anger,anger
NN angel,anticipation|joy|surprise|trust
VB injured,fear|sadness
VB smash,anger|fear
VB pretending,anger
JJ justifiable,trust
VB erase,fear
NN neurosis,fear|sadness
NN loathing,disgust
NN incline,trust
VB squirm,disgust
NN horrors,fear|sadness
NN growl,anger|fear
NN mirth,joy
NN wrath,anger|fear
NN fermentation,anticipation
VB hawk,fear
NN sublimation,joy
VB excruciating,fear
JJ garish,disgust|surprise
JJ important,trust
NN insecurity,fear
RB weakly,fear|sadness
VB blaze,anger
NN steady,surprise|trust
NN partnership,trust
RB painfully,sadness
VB toast,joy
VB save,joy|trust
NN clan,trust
JJ defeated,sadness
NN arson,anger|fear
JJ bloodthirsty,anger|disgust|fear
NN clap,anticipation|joy|trust
NN disaster,anger|disgust|fear|sadness|surprise
VB pine,sadness
VB nullify,surprise
NN claw,anger|fear
NN cadaver,disgust|fear|sadness|surprise
NN calamity,sadness
NN heavens,joy|trust
NN flange,trust
JJ menacing,anger|fear
VB institute,trust
JJ intestinal,disgust
NN prey,fear
JJ fearful,fear|sadness
VB underpaid,anger|sadness
NN inflation,fear
NN measure,trust
NN pact,trust
NN fireman,trust
JJ unlawful,anger|disgust|fear|sadness
NN sufferer,fear|sadness
RB harmoniously,joy|trust
VB taint,sadness
NN officer,trust
NN bickering,anger|disgust
NN dermatologist,trust
JJ shameful,sadness
JJ honest,anger|disgust|fear|joy|sadness|trust
JJ overt,fear
JJ opinionated,anger
JJ thoughtful,trust
NN fatty,disgust|sadness
NN excavation,anticipation|surprise
NN bonanza,joy
VB hurting,anger|fear|sadness
JJ fancy,anticipation|joy
VB gore,anger|disgust|fear|sadness
JJ quaint,joy|trust
JJ statistical,trust
VB embrace,anticipation|joy|surprise|trust
VB flop,disgust|sadness
VB hate,anger|disgust|fear|sadness
VB parrot,disgust
NN escape,anticipation|fear
VB flog,anger|disgust|fear|sadness
JJ busted,anger|fear
NN therapeutic,joy|trust
VB harm,fear
NN morgue,disgust|fear|sadness
NN lovemaking,joy|trust
JJ meritorious,joy|trust
NN hearing,fear
NN mire,disgust
NN hedonism,joy
VB twinkle,anticipation|joy
VB enjoying,anticipation|joy|trust
NN alienation,anger|disgust|fear|sadness
NN clue,anticipation
NN garbage,disgust
NN neutral,anticipation|trust
NN deluge,fear|sadness|surprise
NN delay,anger|disgust|fear|sadness
VB cement,anticipation|trust
NN oppressor,anger|fear|sadness
NN malpractice,anger
JJ bleak,sadness
VB reprimand,anger
NN leaning,trust
VB rook,anger|disgust
JJ irritating,anger|disgust
NN draft,anticipation
NN attenuation,sadness
VB forewarned,anticipation|fear
NN mite,disgust
NN ooze,disgust
VB romp,joy
VB injure,anger|fear|sadness
NN jackpot,anticipation|joy|surprise
NN neighbor,anticipation|trust
JJ lucky,joy|surprise
NN pique,anger
JJ champion,anticipation|joy|trust
JJ defamatory,anger
NN grating,anger|disgust
NN liking,joy|trust
NN commandant,trust
VB threatening,anger|disgust|fear
NN malaise,sadness
NN adversary,anger
VB withered,disgust
NN murder,anger|disgust|fear|sadness|surprise
NN fluke,surprise
NN polemic,anger|disgust
JJ worse,fear|sadness
JJ laxative,disgust|fear
NN laurels,joy
NN surround,anticipation
VB cringe,disgust|fear|sadness
NN treason,anger|disgust|fear|surprise
NN feat,anticipation|joy|surprise
NN fear,anger|fear
JJ disused,anger
NN reparation,trust
JJ vesicular,disgust
VB throne,trust
NN regent,trust
JJ lush,disgust|sadness
VB fleece,anger|disgust|sadness
JJ penal,fear|sadness
JJ monetary,anticipation
RB quiet,sadness
JJ level,trust
NN deference,trust
NN backer,trust
NN stomach,disgust
NN homicide,anger|disgust|fear|sadness
NN sickness,disgust|fear|sadness
VB syringe,fear
VB cuckold,disgust
JJ sick,disgust|sadness
NN wrangling,anger|disgust|fear|sadness
VB chaff,anger|fear
JJ daily,anticipation
RB terribly,sadness
NN jab,anger
VB guillotine,anger|anticipation|disgust|fear|sadness
NN endeavor,anticipation
NN horde,surprise
NN fault,sadness
NN skid,anger|fear|sadness
NN retaliation,anger|fear
VB welcomed,joy
VB champion,anticipation|joy|trust
NN confidence,fear|joy|trust
JJ unhappy,anger|disgust|sadness
VB companion,joy|trust
VB parachute,fear
JJ wanting,sadness
NN rotting,disgust
JJ associate,trust
NN samurai,fear
NN barricade,fear
NN hurrah,joy
NN award,anticipation|joy|surprise|trust
NN alarm,fear|surprise
JJ dietary,anticipation
NN torpedo,anger
NN bitch,anger|disgust|fear|sadness
JJ jubilant,joy|surprise|trust
JJ wasted,anger|disgust
VB flee,fear
JJ superstitious,anticipation|fear
VB fled,fear
NN doom,fear
VB hail,trust
RB singularly,surprise
NN bereaved,sadness
NN incubus,disgust|fear
NN compost,disgust
VB pay,anticipation|joy|trust
NN mill,anticipation
NN banker,trust
VB coffin,fear|sadness
NN aftermath,anger|disgust|fear|sadness
NN bile,anger|disgust
JJ forfeit,anger|sadness
VB smack,anger
NN incompetent,anger|sadness
NN store,anticipation
NN verge,anticipation|fear
NN generosity,anticipation|joy|surprise|trust
NN talons,anger|fear
NN storm,anger
NN timidity,anticipation|fear
JJ agonizing,fear
NN brotherhood,trust
JJ servile,disgust|fear|sadness
VB wages,joy
NN instruction,trust
NN abuse,anger|disgust|fear|sadness
NN mobile,anticipation
NN apathy,sadness
NN cosmopolitan,trust
NN humbug,anger|disgust|sadness
JJ firstborn,anticipation|joy|trust
VB plight,anticipation|disgust|fear|sadness
NN spider,disgust|fear
JJ pernicious,anger|fear|sadness
VB flaw,sadness
VB promise,joy|trust
VB glimmer,anticipation|joy|surprise
VB dashed,anger|fear|sadness
NN asymmetry,disgust
NN recession,anger|disgust|fear|sadness
NN spirits,anticipation|joy|surprise
NN humanitarian,anticipation|joy|surprise|trust
JJ fraudulent,anger|disgust
JJ insidious,anger|disgust|fear
JJ candid,anticipation|joy|surprise|trust
VB boomerang,anticipation|trust
NN anchorage,sadness
NN apache,fear
NN mercenary,fear
NN despair,anger|disgust|fear|sadness
NN digit,trust
NN sanctuary,anticipation|joy|trust
JJ soothing,joy|trust
VB create,joy
NN depravity,anger|disgust
VB auction,anticipation
NN sterling,anger|anticipation|joy|trust
NN defamation,disgust|fear
VB prank,surprise
NN destination,anticipation|fear|joy|sadness|surprise
JJ deadly,anger|disgust|fear|sadness
NN hunting,anger|anticipation|fear
NN pawn,trust
JJ therapeutic,joy|trust
JJ unwelcome,sadness
NN stone,anger
JJ urgent,anticipation|fear|surprise
NN dove,anticipation|joy|trust
VB explain,trust
VB lynch,anger|disgust|fear|sadness
VB winning,anticipation|disgust|joy|sadness|surprise|trust
JJ congratulatory,joy
JJ skewed,anger|anticipation
VB grumble,anger|disgust
NN mistrust,disgust|fear
NN lovely,anticipation|joy|sadness|surprise|trust
NN dame,anger|disgust|trust
JJ repellent,anger|disgust|fear
NN truck,trust
JJ deformed,disgust|sadness
VB outdo,anticipation
NN truce,joy|trust
NN damn,anger|disgust
NN witchcraft,anger|fear|sadness
NN detonation,anger
JJ unhealthy,disgust|fear|sadness
NN prosecution,disgust
NN gloom,sadness
VB praise,joy|trust
JJ unpublished,anticipation|sadness
VB betrothed,anticipation|joy|trust
JJ alive,anticipation|joy|trust
VB overbearing,anger
JJ adrift,anticipation|fear|sadness
NN upheaval,anger|fear|sadness
NN upright,trust
NN sorrow,fear|sadness
NN lick,disgust
NN perpetrator,anger|disgust|fear|sadness
JJ steadfast,trust
NN horse,trust
NN taboo,disgust|fear
JJ contingent,anticipation
JJ honorable,trust
VB complement,anticipation|joy|surprise|trust
NN conflict,anger|fear|sadness
NN insanity,anger|disgust|fear|sadness
JJ unholy,fear
NN delicious,joy
JJ sappy,trust
VB swamp,disgust|fear
JJ dictatorial,anger
VB quicken,anticipation
NN coma,fear|sadness
NN purr,joy|trust
NN fee,anger
NN awkwardness,disgust
JJ rejoicing,anticipation|joy|surprise
NN rarity,surprise
NN approbation,trust
VB sob,sadness
NN father,trust
NN threat,anger|fear
JJ unjust,anger
NN reporter,trust
NN intimate,anticipation|joy|trust
JJ stable,trust
RB slap,anger|surprise
JJ unpopular,disgust|sadness
NN virtue,trust
JJ ready,anticipation
NN correctness,trust
NN progress,anticipation|joy
NN goblin,disgust|fear
JJ prognostic,anticipation
NN serenity,anticipation|joy|trust
VB compass,trust
JJ attentive,trust
VB discipline,fear
JJ drugged,sadness
JJ cross,anger|fear|sadness
NN intolerance,anger|disgust|fear
NN default,disgust|fear|sadness
VB heft,anticipation|fear
NN hankering,anticipation
JJ treacherous,anger|disgust|fear
RB raving,anger|anticipation|fear|joy|surprise
NN guilt,disgust|sadness
NN coop,anger|disgust
VB seek,anticipation
VB armed,anger|fear
NN respite,joy|trust
NN veracity,anticipation|joy|surprise|trust
NN poaching,anger|disgust|fear|sadness
NN zany,surprise
NN glory,anticipation|joy|trust
VB sun,anticipation|joy|surprise|trust
NN misstatement,anger|disgust
VB modify,surprise
JJ conglomerate,trust
NN attorney,anger|fear|trust
VB detest,anger|disgust
VB sue,anger|sadness
NN gallows,anger|fear|sadness
JJ presumptuous,anger|disgust
NN harbinger,anger|anticipation|fear
VB ordained,trust
NN friendly,anticipation|joy|trust
VB devil,anger|anticipation|disgust|fear|sadness
JJ laughable,disgust
NN blob,disgust|fear
JJ abrupt,surprise
NN constipation,disgust
RB powerfully,fear
JJ insolvent,fear|sadness|trust
VB retain,trust
JJ distorted,disgust
NN dare,anticipation|trust
NN follower,trust
NN dark,sadness
NN fib,anger
NN dart,fear
JJ oppressive,anger|disgust|fear|sadness
NN attendance,anticipation
NN attack,anger|fear
NN revulsion,anger|disgust|fear
NN creeping,anticipation
NN filth,disgust
VB perceive,trust
NN dignity,trust
JJ humble,disgust|sadness
NN posse,fear
JJ undisclosed,anticipation
JJ accurate,trust
NN incarceration,anger|disgust|fear|sadness
VB seal,trust
JJ obscene,disgust
NN squelch,anger|disgust
VB thrilling,anticipation|joy|surprise
JJ villainous,anger|disgust|fear
VB disabled,fear|sadness
NN formality,trust
JJ sweetheart,anticipation|joy|sadness|trust
NN resentment,anger|disgust|sadness
VB chronicle,trust
JJ lovely,anticipation|joy|sadness|surprise|trust
JJ corrupting,anger|disgust|fear|sadness
VB swarm,disgust
NN employ,trust
NN ultimate,anticipation|sadness
NN compress,anger
VB slash,anger
NN coax,trust
VB fancy,anticipation|joy
JJ loath,anger
VB heal,joy|trust
VB doomed,fear|sadness
NN stillness,fear|sadness
VB betray,anger|disgust|sadness|surprise
VB slave,anger|fear|sadness
NN falsity,disgust
NN subsidy,anger|disgust
NN quandary,anger|fear
VB clown,anticipation|joy|surprise
NN puke,disgust
NN toothache,fear
NN ambition,anticipation|joy|trust
VB sting,anger|fear
VB guard,fear|trust
NN depreciation,fear
VB tender,joy|trust
NN smuggler,anger|disgust|fear
NN executor,trust
VB purify,joy|trust
VB consult,trust
VB stink,disgust
JJ regent,trust
NN bastion,anger
VB expected,anticipation
VB stint,fear|sadness
NN journeyman,trust
VB attacking,anger|disgust|fear|sadness|surprise
VB crescendo,anticipation|joy|surprise|trust
NN wisdom,trust
JJ withered,disgust
VB bug,disgust|fear
VB machine,trust
VB bum,disgust|sadness
JJ inoperative,anger
VB coalesce,trust
JJ freakish,disgust|fear|surprise
JJ pandemic,fear|sadness
NN rational,trust
VB disturbed,anger|sadness
VB legalized,anger|fear|joy|trust
NN iniquity,disgust
JJ overpowering,anger|fear
NN puma,fear|surprise
NN commerce,trust
NN solidarity,trust
NN inmate,disgust|fear
NN smiling,joy
NN guide,trust
VB whore,disgust
VB parole,anticipation
VB frown,sadness
NN dismissal,anger|disgust|fear|sadness|surprise
VB constrain,fear
VB harry,anger|sadness
JJ brute,anger|fear|sadness
NN toughness,anger|fear|trust
RB unexpectedly,surprise
VB approaching,anticipation
NN collaborator,trust
NN militia,anger|fear|sadness
NN voucher,trust
NN segregate,anger|disgust|sadness
VB gawk,surprise
VB title,trust
NN fat,disgust|sadness
NN chimera,fear|surprise
NN experiment,anticipation|surprise
NN delinquent,anger|disgust
VB umpire,trust
NN synod,trust
JJ meek,sadness
NN carcinoma,fear|sadness
NN punt,anticipation
NN subsidence,sadness
NN smut,disgust|fear
JJ prejudicial,anger
NN profanity,anger
JJ misguided,disgust
NN intruder,anger|fear|surprise
VB planning,anticipation|trust
NN lemon,disgust
NN wan,fear|sadness
VB forgotten,fear|sadness
NN liar,disgust
VB rave,anger|disgust|joy|surprise|trust
NN war,fear
VB grime,disgust
VB foul,anger|disgust|fear
NN truss,trust
JJ incredulous,anger|disgust
VB demand,anger
VB flinch,anticipation|disgust|fear|sadness|surprise
JJ ongoing,anticipation
NN crypt,fear|sadness
JJ tantalizing,anticipation|joy|surprise
JJ somber,sadness
NN trust,trust
NN content,joy|trust
NN clamor,anger|anticipation|disgust|surprise
VB sag,fear
NN invitation,anticipation
VB sap,sadness
NN colonel,trust
JJ frenzied,anger|fear
NN communion,joy|trust
NN purification,trust
NN nuisance,anger
VB retard,disgust|fear|sadness
JJ happy,anticipation|joy|trust
JJ powerful,anger|anticipation|disgust|fear|joy|trust
NN salary,anticipation|joy|trust
NN indemnity,trust
VB frolic,joy
VB barricade,fear
NN authenticity,trust
VB glaring,anger
NN hobby,joy
NN reinforcement,trust
VB gasp,surprise
VB entrust,trust
VB gash,fear
VB fort,trust
VB gate,trust
NN cancer,anger|disgust|fear|sadness
JJ incompetent,anger|sadness
NN massage,joy
NN addresses,anticipation
NN companion,joy|trust
NN fun,anticipation|joy
NN cancel,sadness
NN treasurer,trust
NN professional,trust
NN recruits,trust
JJ disheartened,sadness
NN melancholic,sadness
NN authorization,trust
NN quarantine,fear
NN parish,trust
VB dike,fear
VB sex,anticipation|joy|trust
VB bayonet,anger|fear
JJ devastating,anger|disgust|fear|sadness|trust
VB banquet,anticipation|joy
VB underwrite,trust
NN fidelity,joy|trust
NN mortgage,fear
NN stable,trust
VB mother,anticipation|joy|sadness|trust
NN intrusion,fear
NN scold,anger|disgust|fear|sadness
NN phony,anger|disgust
NN consecration,anticipation|joy|sadness|trust
VB gape,surprise
NN rogue,disgust
VB dispose,disgust
VB fool,disgust
VB slaughter,anger|disgust|fear|sadness|surprise
VB certify,trust
VB compact,trust
JJ found,joy|trust
VB rape,anger|disgust|fear|sadness
NN hesitation,fear
VB evade,anger|disgust|fear
JJ spotless,trust
VB handicap,sadness
NN leading,trust
VB libel,anger|fear|trust
NN evil,anger|disgust|fear|sadness
NN discontent,anger|disgust|fear|sadness
JJ glaring,anger
NN trump,surprise
VB fasting,sadness
VB blunder,disgust|sadness
NN barrier,anger
NN gambler,anticipation|surprise
NN noose,sadness
JJ splitting,sadness
NN fortune,anticipation|joy|surprise|trust
NN distaste,disgust
VB hurt,anger|fear|sadness
NN plague,disgust|fear|sadness
VB grow,anticipation|joy|trust
VB gang,anger|fear
NN incest,anger|disgust|fear|sadness
VB annoying,anger
JJ sneak,anger|fear|surprise
VB ridicule,anger|disgust|sadness
NN incident,surprise
VB explode,anger|fear|sadness|surprise
JJ hot,anger
NN university,anticipation
NN nose,disgust
VB intrigue,anticipation|fear|surprise
NN slander,anger|disgust
VB regiment,fear
NN oath,trust
NN wild,surprise
NN probability,anticipation
VB sin,anger|disgust|fear|sadness
NN snag,surprise
NN restlessness,anticipation
VB hemorrhage,disgust|fear|sadness
NN discretion,anticipation|trust
VB gall,anger|disgust
VB mangle,anger|disgust|fear|sadness
NN foe,anger|fear
NN reinforcements,trust
JJ tyrannical,anger|disgust|fear
NN divination,anticipation
JJ accursed,anger|fear|sadness
NN perfect,anticipation|joy|trust
NN dawn,anticipation|joy|surprise|trust
VB punch,anger|fear|sadness|surprise
JJ lusty,disgust
NN lion,fear
